,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
531,Mahesh Anand,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
532,Ravi Kishan, Profession Actor Voice acting ,N\A, Age 47 , Nominated For Indian Telly Award for Best Anchor/s , Parents Pt. Shayam Narayan Shukla Jadavati Devi ,N\A,https://imgix.ranker.com/node_img/94/1877066/original/ravi-kishan-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ravi_Kishan
533,Vineeth, Profession Actor Dancer ,N\A, Age 49 , Nominated For Filmfare Award for Best Supporting Actor – Malayalam ,N\A,N\A,https://imgix.ranker.com/node_img/118/2340967/original/vineeth-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vineeth
534,Vijay Patkar, Profession Actor Film Director ,N\A, Age 55 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/1712/34227847/original/vijay-patkar-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Vijay_Patkar
535,Abhay Deol, Profession Actor ," Height 6'0"" ", Age 42 , Nominated For IIFA Award for Best Supporting Actor Filmfare Award for Best Supporting Actor , Parents Ajit Deol Usha Deol ,N\A,https://imgix.ranker.com/node_img/20/391019/original/abhay-deol-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Abhay_Deol
536,Jaggesh, Profession Actor ,N\A, Age 55 , Nominated For Filmfare Award for Best Actor – Kannada , Parents Nanjamma Shivalingappa , Children Guru Raj Yathi Raj ,https://imgix.ranker.com/user_node_img/63/1256549/original/jaggesh-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jaggesh
537,Bobby Darling, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/node_img/31/602833/original/bobby-darling-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bobby_Darling
538,Kavya Madhavan, Profession Actor , Height 1.63 , Age 34 , Nominated For Filmfare Award for Best Actress – Malayalam , Parents P. Madhavan Shyamala Madhavan ,N\A,https://imgix.ranker.com/node_img/68/1355076/original/kavya-madhavan-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kavya_Madhavan
539,Mumaith Khan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
540,Nanda, Profession Actor , Height 1.61 , Age Dec. at 75 (1939-2014) , Nominated For Filmfare Award for Best Actress , Parents Meenakshi Shirodkar Master Vinayak ,N\A,https://imgix.ranker.com/node_img/83/1645495/original/nanda-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nanda_(actress)
541,Kashmira Shah, Profession Actor , Height 1.7 , Age 48 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/68/1351702/original/kashmira-shah-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kashmira_Shah
542,Sharad Kapoor, Profession Actor ,N\A, Age 43 , Nominated For Filmfare Award for Best Performance in a Negative Role ,N\A,N\A,https://imgix.ranker.com/node_img/493/9854134/original/sharad-kapoor-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sharad_Kapoor
543,Shahbaaz Khan, Profession Actor ,N\A, Age 53 ,N\A, Parents Raisa Begum Ustad Amir Khan ,N\A,N\A,http://en.wikipedia.org/wiki/Shahbaz_Khan_(actor)
544,Navya Nair, Profession Actor ,N\A, Age 33 ,N\A, Parents Raju Nair Veena Nair , Children Sai Krishna Menon ,https://imgix.ranker.com/node_img/83/1655493/original/navya-nair-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Navya_Nair
545,Satyanarayana Kaikala, Profession Politician Film Producer Actor ,N\A, Age 83 ,N\A, Parents Kaikala Laxmi Narayana ,N\A,N\A,https://en.wikipedia.org/wiki/Kaikala_Satyanarayana
546,Malavika,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
547,Neelam Kothari, Profession Actor Jewelry designer ,N\A, Age 50 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/83/1658131/original/neelam-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Neelam_Kothari
548,Nizhalgal Ravi, Profession Actor ,N\A, Age 65 ,N\A, Parents Shyamanna D. Rajammal , Children Rahul Ravi ,N\A,https://en.wikipedia.org/wiki/Nizhalgal_Ravi
549,Priyamani, Profession Model Actor , Height 1.68 , Age 34 , Nominated For Filmfare Award for Best Actress – Kannada Apsara Award for Best Actress in a Supporting Role Filmfare Award for Best Actress – Malayalam , Parents Latha Mani Iyer Vasudeva Mani Iyer ,N\A,https://imgix.ranker.com/node_img/92/1839647/original/priyamani-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Priyamani
550,Padmini, Profession Actor ,N\A, Age Dec. at 74 (1932-2006) , Nominated For Filmfare Award for Best Actress , Parents Thankappan Pillai Saraswathi Amma ,N\A,https://imgix.ranker.com/user_node_img/88/1745105/original/padmini-people-in-film-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Padmini_(actress)
551,Charmy Kaur, Profession Actor , Height 1.64 , Age 28 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/36/707163/original/charmi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Charmy_Kaur
552,K. R. Vijaya, Profession Actor ,N\A, Age 80 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/585/11695279/original/k-r-vijaya-people-in-tv-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/K._R._Vijaya
553,Rahul Dev Burman, Profession Film Score Composer Actor Music Director ,N\A, Age Dec. at 55 (1939-1994) , Nominated For Filmfare Award for Best Male Playback Singer Filmfare Award for Best Music Director , Parents Meera Dev Burman S.D. Burman , Children Varsha Bhosle Hemant Bhosle Anand Bhosle ,https://imgix.ranker.com/user_node_img/94/1866950/original/rahul-dev-burman-recording-artists-and-groups-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/R._D._Burman
554,Prathapachandran, Profession Film Producer Actor ,N\A, Age Dec. at 63 (1941-2004) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1666/33318005/original/prathapachandran-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prathapachandran
555,Pooja Batra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
556,Preeti Jhangiani,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
557,Bhanupriya, Profession Actor , Height 1.69 , Age 49 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/29/578145/original/bhanupriya-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bhanupriya
558,Jamuna, Profession Politician Actor Film Director ,N\A, Age 82 , Nominated For Filmfare Award for Best Supporting Actress , Parents Kausalya Devi Nippani Srinivas Rao , Children Vamsikrishna Rao Sravanthi Rao ,https://imgix.ranker.com/user_node_img/509/10171612/original/jamuna-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jamuna_(actress)
559,Soundarya, Profession Actor ,N\A, Age Dec. at 32 (1972-2004) ,N\A, Parents K. S. Satyanarayan ,N\A,https://imgix.ranker.com/node_img/104/2064725/original/soundarya-people-in-film-photo-2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Soundarya
560,Subhash Ghai, Profession Film Producer Screenwriter Actor Writer Film Director ,N\A, Age 74 , Nominated For Filmfare Award for Best Director ,N\A, Children Meghna Ghai ,https://imgix.ranker.com/node_img/106/2113047/original/subhash-ghai-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Subhash_Ghai
561,Ashwini Kalsekar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
562,Anju Mahendru,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
563,Kalyan Kumar, Profession Actor Film Director ,N\A, Age Dec. at 70 (1929-1999) ,N\A,N\A, Children Bharat Kalyan ,N\A,http://en.wikipedia.org/wiki/Kalyan_Kumar
564,Siddharth, Profession Actor ,N\A, Age 35 ,N\A, Parents Bharathan K.P.A.C. Lalitha ,N\A,N\A,http://en.wikipedia.org/wiki/Sidharth_Bharathan
565,Oduvil Unnikrishnan, Profession Actor ,N\A, Age Dec. at 62 (1944-2006) ,N\A, Parents Vadakkancheri Enkakkatt Oduvil Veettil Krishna Menon Parukkutty Amma , Children Padmini Unnikrishnan Shalini Unnikrishnan ,https://imgix.ranker.com/node_img/86/1709404/original/oduvil-unnikrishnan-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Oduvil_Unnikrishnan
566,Marne Maitland,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
567,Koel Mallick,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
568,Rahasya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
569,Radhika Chaudhari, Profession Actor Film Director ," Height 5'4"" ",N\A,N\A,N\A,N\A,https://imgix.ranker.com/node_img/94/1863823/original/radhika-choudary-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Radhika_Chaudhari
570,Soni Razdan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
571,Devayani, Profession Actor ,N\A, Age 44 , Nominated For Filmfare Award for Best Actress – Tamil , Parents Jayadev Lakshmi , Children Iniya Kumaran Priyanka Kumaran ,https://imgix.ranker.com/user_node_img/43/848845/original/devayani-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Devayani_(actress)
572,Pragathi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
573,Nadira, Profession Actor ,N\A, Age Dec. at 74 (1932-2006) , Nominated For Filmfare Award for Best Supporting Actress ,N\A,N\A,https://imgix.ranker.com/user_node_img/83/1642231/original/nadira-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nadira_(actress)
574,Dino Morea,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
575,Lal, Profession Film Distributor Film Producer Screenwriter Actor Writer Film Director ,N\A, Age 60 , Nominated For Filmfare Award for Best Supporting Actor – Malayalam Filmfare Award for Best Actor – Malayalam , Parents Philomina Paul M. A. Paul , Children Jean Paul Monica Paul ,https://imgix.ranker.com/node_img/477/9526690/original/lal-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Lal_(actor)
576,Ponnambalam, Profession Actor ,N\A, Age 55 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/92/1822163/original/ponnambalam-actors-film-actor-people-in-film-person-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Ponnambalam_(actor)
577,Anu Malik, Profession Film Score Composer Actor Singer Music Director ,N\A, Age 58 , Nominated For IIFA Award for Best Music Director Apsara Award for Best Music Director Filmfare Award for Best Music Director Indian Telly Award for Best Judge Panel Zee Cine Award for Best Music Director , Parents Sardar Malik , Children Anmol Malik Ada Malik ,https://imgix.ranker.com/node_img/24/477295/original/anu-malik-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Anu_Malik
578,Daya Shankar Pandey,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
579,Madhu, Profession Film Producer Screenwriter Actor Film Director , Height 1.75 , Age 85 ,N\A, Parents Thankamma R. Parameswaran Pillai , Children Uma ,https://imgix.ranker.com/node_img/75/1496434/original/madhu-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Madhu_(actor)
580,Kasinadhuni Viswanath, Profession Sound Designer Screenwriter Actor Writer Film Director ,N\A, Age 89 , Nominated For Filmfare Award for Best Story , Parents Kasinadhuni Saraswatamma Kasinadhuni Subrahmanyam , Children Ravindranath Viswanath Padmavathi Viswanath Nagendranath Viswanath ,N\A,https://en.wikipedia.org/wiki/Kasinathuni_Viswanath
581,Pasupathy, Profession Actor ,N\A, Age 49 , Nominated For Vijay Award for Best Supporting Actor Filmfare Award for Best Supporting Actor – Tamil ,N\A,N\A,https://imgix.ranker.com/user_node_img/89/1760985/original/pasupathy-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Pasupathy
582,Tina Munim, Profession Actor , Height 1.65 , Age 62 ,N\A,N\A, Children Jai Anshul Ambani Jai Anmol Ambani ,https://imgix.ranker.com/user_node_img/113/2248947/original/tina-munim-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Tina_Ambani
583,Nauheed Cyrusi, Profession VJ Model Actor , Height 1.6 , Age 36 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/83/1654689/original/nauheed-cyrusi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nauheed_Cyrusi
584,Kim Sharma,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
585,Hrishikesh Mukherjee, Profession Film Producer Screenwriter Film Editor Film Director ,N\A, Age Dec. at 84 (1922-2006) , Nominated For Filmfare Award for Best Director ,N\A, Children Rajshri Bhattacharya Jaishree Banerjee Sandeep Mukherjee Surashree Chatterjee Pradip Mukherjee ,https://imgix.ranker.com/node_img/60/1185556/original/hrishikesh-mukherjee-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Hrishikesh_Mukherjee
586,Neeraj Vora, Profession Film Score Composer Screenwriter Actor Writer Film Director ,N\A,N\A, Nominated For Filmfare Award for Best Dialogue ,N\A,N\A,https://imgix.ranker.com/node_img/3106/62106996/original/neeraj-vora-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Neeraj_Vora
587,Sharada, Profession Actor ,N\A, Age 73 , Nominated For National Film Award for Best Actress , Parents Satyavathi Devi Venkateswar Rao ,N\A,https://imgix.ranker.com/node_img/101/2013548/original/sharada-urvashi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sharada_(actress)
588,Sanjay Narvekar, Profession Actor ,N\A, Age 57 , Nominated For Filmfare Award for Best Supporting Actor ,N\A, Children Aryan Narvekar ,https://imgix.ranker.com/user_node_img/1679/33564051/original/sanjay-narvekar-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sanjay_Narvekar
589,Nawazuddin Siddiqui, Profession Chemist Actor ,N\A, Age 44 , Nominated For Asian Film Award for Best Supporting Actor ,N\A, Children Zora Siddiqui ,https://imgix.ranker.com/user_node_img/1652/33024603/original/nawazuddin-siddiqui-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nawazuddin_Siddiqui
590,Biplab Chatterjee,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
591,Devan, Profession Politician Actor ,N\A, Age 67 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/3101/62010595/original/devan-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Devan_(actor)
592,Piyush Mishra, Profession Film Score Composer Theatre Director Songwriter Screenwriter Lyricist Actor Singer Music Director Playwright ,N\A, Age 56 , Nominated For Zee Cine Award for Best Actor in a Supporting Role Apsara Award for Best Actor in a Supporting Role , Parents Taradevi Mishra , Children Josh Mishra Jai Mishra ,https://imgix.ranker.com/node_img/91/1808608/original/piyush-mishra-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Piyush_Mishra
593,Swastika Mukherjee, Profession Actor ,N\A, Age 38 ,N\A, Parents Santu Mukherjee Gopa Mukherjee , Children Anwesha Sen ,https://imgix.ranker.com/node_img/601/12005690/original/swastika-mukherjee-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Swastika_Mukherjee
594,Prema Narayan, Profession Actor Dancer ," Height 5'6"" ", Age 63 , Nominated For Filmfare Award for Best Supporting Actress ,N\A,N\A,https://imgix.ranker.com/node_img/92/1833523/original/prema-narayan-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prema_Narayan
595,Pawan Kalyan, Profession Screenwriter Choreographer Actor Film Director , Height 1.78 , Age 47 , Nominated For Filmfare Award for Best Actor – Telugu , Parents Konidela Venkat Rao Anjana Devi , Children Aadhya Konidala Akira Nandan ,https://imgix.ranker.com/user_node_img/89/1771122/original/pawan-kalyan-people-in-film-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Pawan_Kalyan
596,T. R. Sundaram, Profession Film Producer Actor Film Director ,N\A, Age Dec. at 56 (1907-1963) , Nominated For National Film Award for Best Feature Film in Malayalam ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/T._R._Sundaram
597,Zayed Khan, Profession Film Producer Actor , Height 1.8 , Age 38 , Nominated For Filmfare Award for Best Supporting Actor , Parents Sanjay Khan Zarine Khan ,N\A,https://imgix.ranker.com/node_img/122/2438141/original/zayed-khan-people-in-tv-photo-2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Zayed_Khan
598,Kunal Kapoor, Profession Actor , Height 1.88 ,N\A,N\A, Parents Shashi Kapoor Jennifer Kendal , Children Zahan Prithviraj Kapoor Shaira Laura Kapoor ,N\A,https://en.wikipedia.org/wiki/Kunal_Kapoor_(actor)
599,Madhubala, Profession Actor , Height 1.63 , Age Dec. at 36 (1933-1969) , Nominated For Filmfare Award for Best Actress , Parents Ataullah Khan ,N\A,https://imgix.ranker.com/user_node_img/75/1496374/original/madhubala-u10?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Madhubala
600,Rajeev Verma,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
601,Rasika Joshi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
602,Alka Yagnik, Profession Playback singer Singer ,N\A, Age 52 , Nominated For Filmfare Award for Best Female Playback Singer Apsara Award for Best Female Playback Singer Indian Telly Award for Best Title Singer for a TV Show IIFA Award for Best Female Playback Zee Cine Award for Best Playback Singer – Female International Viewer's Choice Award for MTV India ,N\A,N\A,https://imgix.ranker.com/user_node_img/22/434531/original/alka-yagnik-recording-artists-and-groups-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Alka_Yagnik
603,Chhabi Biswas, Profession Actor Film Director ,N\A, Age Dec. at 62 (1900-1962) ,N\A, Parents Bhupatinath Biswas ,N\A,https://imgix.ranker.com/node_img/36/713481/original/chhabi-biswas-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Chhabi_Biswas
604,Rajat Kapoor, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 58 , Nominated For Apsara Award for Best Actor in a Supporting Role IIFA Award for Best Supporting Actor ,N\A, Children Vivan Kapoor Rabia Kapoor ,https://imgix.ranker.com/node_img/94/1868458/original/rajat-kapoor-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rajat_Kapoor
605,Kaviyoor Ponnamma, Profession Actor ,N\A, Age 73 ,N\A,N\A, Children Bindhu ,https://imgix.ranker.com/node_img/68/1355042/original/kaviyoor-ponnamma-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kaviyoor_Ponnamma
606,Sridhar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
607,Emraan Hashmi, Profession Model Actor ," Height 5'8"" ", Age 39 , Nominated For Filmfare Award for Best Performance in a Negative Role , Parents Maherahh Hashmi Anwar Hashmi , Children Ayaan Hashmi ,https://imgix.ranker.com/node_img/48/940064/original/emraan-hashmi-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Emraan_Hashmi
608,Minissha Lamba, Profession Actor , Height 1.55 , Age 34 ,N\A, Parents Manju Lamba Kewal Lamba ,N\A,https://imgix.ranker.com/node_img/80/1593322/original/minnisha-lamba-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Minissha_Lamba
609,Ashutosh Rana, Profession Actor Presenter ,N\A, Age 54 , Nominated For Filmfare Award for Best Performance in a Negative Role ,N\A, Children Satyendra Shouryaman ,https://imgix.ranker.com/node_img/26/501657/original/ashutosh-rana-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ashutosh_Rana
610,Darshan Jariwala, Profession Actor ,N\A, Age 57 , Nominated For Apsara Award for Best Actor in a Comic Role Indian Telly Jury Award for Best Actor in a Supporting Role Apsara Award for Best Actor in a Supporting Role , Parents Leela Jariwala ,N\A,https://imgix.ranker.com/user_node_img/475/9496039/original/darshan-jariwala-actors-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Darshan_Jariwala
611,Deepak Chopra, Profession Public speaker Film Producer Screenwriter Physician Actor Writer ,N\A, Age 71 ,N\A, Parents Pushpa Chopra Krishan Chopra , Children Mallika Chopra Gotham Chopra ,https://imgix.ranker.com/node_img/42/834333/original/deepak-chopra-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Deepak_Chopra
612,Ruma Guha Thakurta, Profession Actor Singer Dancer ,N\A, Age 84 ,N\A, Parents Satyen Ghosh Sati Devi , Children Amit Kumar Ayan Guha Thakurta Shramana Guha Thakurta ,https://imgix.ranker.com/node_img/98/1949309/original/ruma-guha-thakurta-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ruma_Guha_Thakurta
613,Sulabha Deshpande, Profession Actor Film Director ,N\A, Age 82 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Sulabha_Deshpande
614,Anita Raj,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
615,Parmeet Sethi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
616,S. P. Balasubrahmanyam, Profession Film Producer Actor Playback singer Voice acting Singer Music Director ,N\A, Age 72 , Nominated For Filmfare Award for Best Male Playback Singer Filmfare Award for Best Male Playback Singer – Telugu Vijay Award for Best Male Playback Singer Filmfare Award for Best Male Playback Singer – Tamil , Parents S. P. Sambamurthy , Children S. P. B. Charan Pallavi Balasubrahmanyam ,https://imgix.ranker.com/node_img/107/2138568/original/s-p-balasubrahmanyam-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/S._P._Balasubrahmanyam
617,Marc Zuber, Profession Actor ,N\A, Age Dec. at 59 (1944-2003) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/76/1517761/original/marc-zuber-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Marc_Zuber
618,Simi Garewal, Profession Television director Actor Film Director ,N\A, Age 71 , Nominated For Filmfare Award for Best Supporting Actress Indian Telly Award for Best Anchor/s , Parents Darshi Singh JS Garewal ,N\A,https://imgix.ranker.com/node_img/102/2033834/original/simi-garewal-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Simi_Garewal
619,Srinivasan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
620,Freida Pinto, Profession Model Actor Presenter , Height 1.68 , Age 34 , Nominated For Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture BAFTA Award for Best Actress in a Supporting Role MTV Movie Award for Best Kiss MTV Movie Award for Best Breakthrough Performance - Female , Parents Frederick Pinto Sylvia Pinto ,N\A,https://imgix.ranker.com/user_node_img/601/12005049/original/freida-pinto-people-in-tv-photo-u57?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Freida_Pinto
621,Abbas, Profession Model Actor , Height 1.52 , Age 40 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/20/388514/original/abbas-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Abbas_(actor)
622,Ruby Myers, Profession Actor ,N\A, Age Dec. at 76 (1907-1983) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Ruby_Myers
623,J. D. Chakravarthy, Profession Screenwriter Actor Writer Film Director ,N\A, Age 46 , Nominated For Vijay Award for Best Villain , Parents Dr. Santha Kovela Suryanarayana Rao Nagulapati ,N\A,https://imgix.ranker.com/node_img/67/1339246/original/j-d-chakravarthy-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/J._D._Chakravarthy
624,Santhana Bharathi, Profession Actor Film Director ,N\A,N\A,N\A, Parents M.R. Santhanam ,N\A,N\A,https://en.wikipedia.org/wiki/Santhana_Bharathi
625,Chhaya Devi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
626,Srikanth, Profession Actor ,N\A, Age 39 ,N\A, Parents Jayanthi Krishnamachari , Children Ahana Srikanth Aahil Srikanth ,https://imgix.ranker.com/node_img/105/2080817/original/srikanth-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Srikanth
627,Mita Vashisht, Profession Actor ,N\A, Age 51 ,N\A, Parents Meenakshi Mehta Vasisht Rajeshwar Dutt Vasisht ,N\A,https://imgix.ranker.com/node_img/80/1599272/original/mita-vashisht-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mita_Vashisht
628,Janardhanan, Profession Comedian Actor ,N\A, Age 72 ,N\A, Parents Kollarakkattu Veettil K. Gopala Pillai Gouri Amma , Children Ramaranjini Laxmi ,N\A,https://en.wikipedia.org/wiki/Janardhanan_(actor)
