,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
13,Amrish Puri, Profession Actor Voice acting ,N\A, Age Dec. at 73 (1932-2005) , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Supporting Actor , Parents S. Nihal Singh Puri Ved Kaur , Children Namrata Puri Rajiv Puri ,https://imgix.ranker.com/node_img/23/452692/original/amrish-puri-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Amrish_Puri
14,Shahrukh Khan, Profession Film Producer Actor Voice acting Presenter , Height 1.73 , Age 54 , Nominated For Asian Film Award for Best Actor Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor , Parents Lateef Fatima Khan Taj Mohammed Khan , Children Aryan Khan Suhana Khan ,https://imgix.ranker.com/user_node_img/101/2010902/original/shahrukh-khan-writers-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shah_Rukh_Khan
15,Prem Chopra, Profession Actor ,N\A, Age 83 , Nominated For Filmfare Award for Best Supporting Actor , Parents Rooprani Chopra Ranbirlal Chopra , Children Rakita Chopra Prerana Chopra Punita Chopra ,https://imgix.ranker.com/node_img/92/1833770/original/prem-chopra-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prem_Chopra
16,Dharmendra, Profession Businessperson Politician Film Producer Actor , Height 1.78 , Age 83 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Kewal Kishan Singh Deol Satwant Kaur , Children Bobby Deol Esha Deol Ajeita Deol Sunny Deol Ahana Deol Vijeta Deol ,https://imgix.ranker.com/node_img/43/851639/original/dharmendra-deol-politicians-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dharmendra
17,Akshay Kumar, Profession Stunt Performer Film Producer Actor Martial artist Presenter , Height 1.85 , Age 51 , Nominated For Asian Film Award for Best Actor Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Aruna Bhatia , Children Aarav Kumar Nitara Kumar ,https://imgix.ranker.com/node_img/21/416681/original/akshay-kumar-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Akshay_Kumar
18,Rekha, Profession Actor ,N\A, Age 58 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/1672/33425220/original/rekha-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rekha_(South_Indian_actress)
19,Ajay Devgan, Profession Film Producer Actor , Height 1.8 , Age 49 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Veeru Devgan Veena Devgan , Children Nysa Devgan Yug Devgan ,https://imgix.ranker.com/user_node_img/21/415034/original/ajay-devgan-u7?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ajay_Devgn
20,Satyendra Kapoor, Profession Actor ,N\A, Age Dec. at 76 (1931-2007) ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/9/168729/original/satyen-kappu-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Satyen_Kappu
21,Sanjay Dutt, Profession Politician Comedian Film Producer Actor Presenter , Height 1.83 , Age 59 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Nargis Sunil Dutt , Children Trishala Dutt Iqra Dutt Shahraan Dutt ,https://imgix.ranker.com/node_img/99/1972974/original/sanjay-dutt-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sanjay_Dutt
22,Ashok Kumar, Profession Painter Film Producer Actor Film Director ,N\A, Age Dec. at 90 (1911-2001) , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Kunjalal Ganguly Gouri Devi , Children Rupa Ganguly Rupa Ganguli Arun Ganguly Preeti Ganguly ,https://imgix.ranker.com/user_node_img/26/501396/original/ashok-kumar-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ashok_Kumar
23,Pran Sikhand,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
24,Hema Malini, Profession Politician Film Producer Choreographer Actor Dancer Film Director , Height 1.68 , Age 70 , Nominated For Filmfare Award for Best Actress , Parents Jaya Chakravarthy V.S. Ramanujam Chakravarthy , Children Esha Deol Ahana Deol ,https://imgix.ranker.com/user_node_img/58/1147626/original/hema-malini-photo-u13?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Hema_Malini
25,Om Puri, Profession Actor , Height 1.78 , Age 68 , Nominated For BAFTA Award for Best Actor in a Leading Role Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor ,N\A, Children Ishaan Puri ,https://imgix.ranker.com/node_img/87/1720369/original/om-puri-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Om_Puri
26,Aishwarya Rai Bachchan, Profession Model Actor , Height 1.7 , Age 45 , Nominated For Filmfare Award for Best Actress , Parents Krishnaraj Rai Brindya Rai , Children Aaradhya Bachchan ,https://imgix.ranker.com/user_node_img/21/414609/original/aishwarya-rai-photo-u106?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Aishwarya_Rai
27,Salman Khan, Profession Film Producer Model Actor Presenter , Height 1.74 , Age 53 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Salim Khan Sushila Charak ,N\A,https://imgix.ranker.com/node_img/99/1964546/original/salman-khan-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Salman_Khan
28,Nassar, Profession Film Producer Screenwriter Lyricist Actor Singer Film Director ,N\A, Age 60 , Nominated For Vijay Award for Best Villain , Parents Mehaboob Basha Mumtaz Beghum ,N\A,https://imgix.ranker.com/node_img/83/1648480/original/nassar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nassar
